"ID","INCIDENT_NUMBER","DATE_REPORTED","DATE_OCCURED","CRIME_TYPE","NIBRS_CODE","UCR_HIERARCHY","ATT_COMP","LMPD_DIVISION","LMPD_BEAT","PREMISE_TYPE","BLOCK_ADDRESS","UOR_DESC","LEOKA_APPLIES","OFFICER_KILLED","TYPE_OF_ASSIGNMENT","TYPE_OF_ACTIVITY","OFFENSE_CITY","OFFENSE_ZIP"
"40","80-16-109336","2016-12-23 18:21:00","2016-12-23 18:21:00","ASSAULT","13C","PART II","COMPLETED","5TH DIVISION","512","HIGHWAY / ROAD / ALLEY","BARDSTOWN RD / EDGELAND AVE                                 ","TERRORISTIC THREATENING 3RD DEGREE","YES","NO","TWO-MAN VEHICLE (UNIFORMED OFFICER)","HANDLING, TRANSPORTING, CUSTODY OF PRISONERS","LOUISVILLE","40204"
"41","80-16-107880","2016-12-15 19:30:00","2016-12-15 19:30:00","ASSAULT","13C","PART II","COMPLETED","1ST DIVISION","123","GOVERNMENT / PUBLIC BUILDING","1100 BLOCK FISK CT                                          ","TERRORISTIC THREATENING 3RD DEGREE","YES","NO","TWO-MAN VEHICLE (UNIFORMED OFFICER)","ALL OTHER","LOUISVILLE","40203"
"42","80-16-110362","2016-12-28 00:16:00","2016-12-27 00:16:00","ASSAULT","13B","PART II","COMPLETED","2ND DIVISION","225","HIGHWAY / ROAD / ALLEY","ALGONQUIN PKY / DE SOTO TER                                 ","ASSAULT-3RD DEGREE-POLICE/PROBATION OFFICER-IDENTIFY WEAPON","YES","NO","TWO-MAN VEHICLE (UNIFORMED OFFICER)","ALL OTHER","LOUISVILLE","40210"
"43","80-17-025524","2017-03-31 02:05:00","2017-03-31 02:05:00","ASSAULT","13B","PART II","COMPLETED","3RD DIVISION","315","BAR / NIGHT CLUB","DIXIE HWY / MARYMAN RD                                      ","ASSAULT-3RD DEGREE-POLICE/PROBATION OFFICER-IDENTIFY WEAPON","YES","NO","OTHER ALONE (FOOT, OFF DUTY, ECT)","ALL OTHER","LOUISVILLE","40258"
"44","80-17-025631","2017-02-12 03:04:00","2017-02-12 02:05:00","ASSAULT","13C","PART II","COMPLETED","1ST DIVISION","111","OTHER RESIDENCE (APARTMENT/CONDO)","2600 BLOCK BANK ST                                          ","MENACING","YES","NO","TWO-MAN VEHICLE (UNIFORMED OFFICER)","RESPONDING TO DISTURBANCE CALLS","LOUISVILLE","40212"
"45","80-16-110699","2016-12-29 04:02:00","2016-12-29 03:30:00","ASSAULT","13B","PART II","COMPLETED","3RD DIVISION","316","RESIDENCE / HOME","13300 BLOCK HORNCASTLE WAY                                  ","ASSAULT-3RD DEGREE-POLICE/PROBATION OFFICER-IDENTIFY WEAPON","YES","NO","ONE-MAN VEHICLE ASSISTED (UNIFORMED OFFICER)","DOMESTIC DISTURBANCE","LOUISVILLE","40272"
"46","80-16-110699","2016-12-29 04:02:00","2016-12-29 03:30:00","ASSAULT","13B","PART II","COMPLETED","3RD DIVISION","316","RESIDENCE / HOME","13300 BLOCK HORNCASTLE WAY                                  ","ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) MINOR INJURY","YES","NO","ONE-MAN VEHICLE ASSISTED (UNIFORMED OFFICER)","DOMESTIC DISTURBANCE","LOUISVILLE","40272"
"47","80-17-002200","2017-01-08 02:35:00","2017-01-08 02:35:00","ASSAULT","13B","PART II","COMPLETED","5TH DIVISION","512","HIGHWAY / ROAD / ALLEY","900 BLOCK BAXTER AVE                                        ","ASSAULT-3RD DEGREE-POLICE/PROBATION OFFICER-IDENTIFY WEAPON","YES","NO","OTHER ASSISTED (FOOT, OFF DUTY, ETC)","RESPONDING TO DISTURBANCE CALLS","LOUISVILLE","40204"
"48","80-17-028606","2017-04-11 13:25:00","2017-04-11 13:21:00","ASSAULT","13B","PART II","COMPLETED","4TH DIVISION","424","HIGHWAY / ROAD / ALLEY","S 4TH ST / M ST                                             ","ASSAULT-3RD DEGREE-POLICE/PROBATION OFFICER-IDENTIFY WEAPON","NO","NO","ONE-MAN VEHICLE ALONE (UNIFORMED OFFICER)","ROBBERY IN PROGRESS OR PURSUING ROBBERY SUSPECT","LOUISVILLE","40208"
"49","80-17-030761","2017-04-18 18:25:00","2017-04-18 18:25:00","ASSAULT","13A","PART I","COMPLETED","4TH DIVISION","411","HIGHWAY / ROAD / ALLEY","134.6 I65N                                                  ","WANTON ENDANGERMENT-1ST DEGREE-POLICE OFFICER","YES","NO","TWO-MAN VEHICLE (UNIFORMED OFFICER)","RESPONDING TO DISTURBANCE CALLS","LOUISVILLE","40203"
"50","80-17-030761","2017-04-18 18:25:00","2017-04-18 18:25:00","ASSAULT","13B","PART II","COMPLETED","4TH DIVISION","411","HIGHWAY / ROAD / ALLEY","134.6 I65N                                                  ","ASSAULT-3RD DEGREE-POLICE/PROBATION OFFICER-IDENTIFY WEAPON","YES","NO","TWO-MAN VEHICLE (UNIFORMED OFFICER)","RESPONDING TO DISTURBANCE CALLS","LOUISVILLE","40203"
"51","80-17-035060","2017-05-02 23:49:00","2017-05-02 23:49:00","ASSAULT","13A","PART I","COMPLETED","4TH DIVISION","411","BAR / NIGHT CLUB","1400 BLOCK S 4TH ST                                         ","DISARMING A PEACE OFFICER","YES","NO","TWO-MAN VEHICLE (UNIFORMED OFFICER)","RESPONDING TO DISTURBANCE CALLS","LOUISVILLE","40208"
"52","80-17-038087","2017-04-22 01:42:00","2017-04-22 01:42:00","ASSAULT","13C","PART II","COMPLETED","1ST DIVISION","123","HIGHWAY / ROAD / ALLEY","400 BLOCK S 4TH ST                                          ","MENACING","YES","NO","ONE-MAN VEHICLE ALONE (UNIFORMED OFFICER)","RESPONDING TO DISTURBANCE CALLS","LOUISVILLE","40202"
"53","80-17-038536","2017-05-13 23:00:00","2017-05-13 23:00:00","ASSAULT","13A","PART I","COMPLETED","1ST DIVISION","112","HIGHWAY / ROAD / ALLEY","S 26TH ST / MAGAZINE ST                                     ","WANTON ENDANGERMENT-1ST DEGREE-POLICE OFFICER","YES","NO","DETECTIVE OR SPECIAL ASSIGNMENT ASSISTED","TRAFFIC PURSUIT OR STOPS","LOUISVILLE","40211"
"54","80-17-038536","2017-05-13 23:00:00","2017-05-13 23:00:00","ASSAULT","13A","PART I","COMPLETED","1ST DIVISION","112","HIGHWAY / ROAD / ALLEY","S 26TH ST / MAGAZINE ST                                     ","WANTON ENDANGERMENT-1ST DEGREE-POLICE OFFICER","YES","NO","DETECTIVE OR SPECIAL ASSIGNMENT ASSISTED","TRAFFIC PURSUIT OR STOPS","LOUISVILLE","40211"
"55","80-17-038536","2017-05-13 23:00:00","2017-05-13 23:00:00","ASSAULT","13A","PART I","COMPLETED","1ST DIVISION","112","HIGHWAY / ROAD / ALLEY","S 26TH ST / MAGAZINE ST                                     ","WANTON ENDANGERMENT-1ST DEGREE-POLICE OFFICER","YES","NO","DETECTIVE OR SPECIAL ASSIGNMENT ASSISTED","TRAFFIC PURSUIT OR STOPS","LOUISVILLE","40211"
"56","80-17-038515","2017-05-13 20:45:00","2017-05-13 19:32:00","ASSAULT","13B","PART II","COMPLETED","1ST DIVISION","111","RESIDENCE / HOME","N 28TH ST / MONTGOMERY ST                                   ","ASSAULT-3RD DEGREE-POLICE/PROBATION OFFICER-IDENTIFY WEAPON","YES","NO","TWO-MAN VEHICLE (UNIFORMED OFFICER)","RESPONDING TO DISTURBANCE CALLS","LOUISVILLE","40212"
"57","80-17-038226","2017-05-12 18:59:00","2017-05-12 18:59:00","ASSAULT","13C","PART II","COMPLETED","2ND DIVISION","236","PARKING LOT / GARAGE","CANE RUN RD / CRUMS LN                                      ","MENACING","YES","NO","TWO-MAN VEHICLE (UNIFORMED OFFICER)","INVESTIGATING SUSPICIOUS PERSONS OR CIRCUMSTANCE","LOUISVILLE","40216"
"58","80-17-041018","2017-05-22 05:32:00","2017-05-22 05:32:00","ASSAULT","13A","PART I","COMPLETED","1ST DIVISION","123","PARKING LOT / GARAGE","400 BLOCK S 4TH ST                                          ","DISARMING A PEACE OFFICER","YES","NO","OTHER ASSISTED (FOOT, OFF DUTY, ETC)","HANDLING, TRANSPORTING, CUSTODY OF PRISONERS","LOUISVILLE","40202"
"59","80-17-041053","2017-05-22 11:46:00","2017-05-22 11:46:00","ASSAULT","13B","PART II","COMPLETED","4TH DIVISION","411","HIGHWAY / ROAD / ALLEY","1100 BLOCK S 8TH ST                                         ","ASSAULT-3RD DEGREE-POLICE/PROBATION OFFICER-IDENTIFY WEAPON","YES","NO","ONE-MAN VEHICLE ASSISTED (UNIFORMED OFFICER)","ATTEMPTING OTHER ARREST","LOUISVILLE","40203"
"60","80-17-041247","2017-05-22 22:31:00","2017-05-22 22:31:00","ASSAULT","13C","PART II","COMPLETED","1ST DIVISION","123","JAIL / PENITENTARY","500 BLOCK S 4TH ST                                          ","TERRORISTIC THREATENING 3RD DEGREE","YES","NO","TWO-MAN VEHICLE (UNIFORMED OFFICER)","HANDLING, TRANSPORTING, CUSTODY OF PRISONERS","LOUISVILLE","40202"
"61","80-17-043739","2017-05-13 16:50:00","2017-05-13 16:50:00","ASSAULT","13C","PART II","COMPLETED","4TH DIVISION","412","RESIDENCE / HOME","1200 BLOCK S PRESTON ST                                     ","MENACING","YES","NO","DETECTIVE OR SPECIAL ASSIGNMENT ALONE","INVESTIGATING SUSPICIOUS PERSONS OR CIRCUMSTANCE","LOUISVILLE","40203"
"62","80-17-043979","2017-05-26 13:10:00","2017-05-26 13:10:00","ASSAULT","13C","PART II","COMPLETED","7TH DIVISION","723","SCHOOL - ELEMENTARY / SECONDARY","6400 BLOCK OUTER LOOP                                       ","MENACING","YES","NO","TWO-MAN VEHICLE (UNIFORMED OFFICER)","INVESTIGATING SUSPICIOUS PERSONS OR CIRCUMSTANCE","LOUISVILLE","40228"
"63","80-17-041886","2017-05-24 21:45:00","2017-05-24 21:45:00","ASSAULT","13A","PART I","COMPLETED","4TH DIVISION","412","HIGHWAY / ROAD / ALLEY","S 4TH ST / W CARDINAL BLVD                                  ","WANTON ENDANGERMENT-1ST DEGREE-POLICE OFFICER","YES","NO","TWO-MAN VEHICLE (UNIFORMED OFFICER)","RESPONDING TO DISTURBANCE CALLS","LOUISVILLE","40208"
"64","80-17-043283","2017-05-30 02:18:00","2017-05-30 02:18:00","ASSAULT","13B","PART II","COMPLETED","6TH DIVISION","624","GROCERY / SUPERMARKET","4500 BLOCK S HURSTBOURNE PKY                                ","ASSAULT-3RD DEGREE-POLICE/PROBATION OFFICER-IDENTIFY WEAPON","YES","NO","OTHER ASSISTED (FOOT, OFF DUTY, ETC)","ATTEMPTING OTHER ARREST","LOUISVILLE","40299"
"65","80-17-046833","2017-06-11 03:36:00","2017-06-11 03:36:00","ASSAULT","13B","PART II","COMPLETED","METRO LOUISVILLE","STM","BAR / NIGHT CLUB","3900 BLOCK SHELBYVILLE RD                                   ","ASSAULT-3RD DEGREE-POLICE/PROBATION OFFICER-IDENTIFY WEAPON","YES","NO","OTHER ALONE (FOOT, OFF DUTY, ECT)","INVESTIGATING SUSPICIOUS PERSONS OR CIRCUMSTANCE","ST_MATTHEWS","40207"
"66","80-17-047312","2017-06-12 20:32:00","2017-06-12 20:00:00","ASSAULT","13B","PART II","COMPLETED","7TH DIVISION","724","RESIDENCE / HOME","11100 BLOCK BROOKLEY DR                                     ","ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) MINOR INJURY","YES","NO","ONE-MAN VEHICLE ALONE (UNIFORMED OFFICER)","ATTEMPTING OTHER ARREST","LOUISVILLE","40229"
